"seqnames","start","end","width","strand","Conc","Conc_YAF","Conc_GFP","Fold","p.value","FDR","YAF_1","YAF_2","YAF_3","GFP_1","GFP_2","GFP_3"
"2",205691269,205704753,13485,"*",8.21450084800035,8.87451250493149,6.96263437752789,1.84142880141155,1.96810945784984e-32,3.80494601486109e-28,456.98,484.3,466.76,110.38,138.78,125.03
"15",60368599,60378341,9743,"*",8.70435241882994,9.35257818658222,7.49599277287811,1.78824141984549,6.85658380321068e-32,6.62791673337361e-28,614.47,661.59,685.16,166.04,196.75,178.76
"10",123196661,123206105,9445,"*",8.72153865006714,7.47279996707129,9.3807179671066,-1.80277155558989,1.31027991828969e-31,8.44388055343155e-28,160.07,199.38,173.46,668.01,627.13,704.71
"10",62042352,62051520,9169,"*",8.21064117998726,8.85600437922031,7.01260103831843,1.77089860094205,8.60513473476956e-30,4.1590767456825e-26,420.84,455.98,513.28,125.73,133.51,128.13
"1",12432822,12439468,6647,"*",7.74081135643797,8.39693407257067,6.50348568716968,1.82655443597976,1.5019308936757e-29,5.80736599348645e-26,309.82,338.73,362.69,83.5,101.89,86.8
"2",205750783,205758980,8198,"*",7.76540838691151,8.4191084864274,6.53704781029442,1.80767255104972,4.63573077244223e-28,1.49370971706043e-24,294.33,369.88,362.69,83.5,94.86,100.23
"9",95005614,95010989,5376,"*",6.76265820134799,7.52003903578033,5.07104733080922,2.25842988166235,1.58113340258829e-27,4.36686458174848e-24,206.54,158.03,186.07,29.75,42.16,28.93
"15",60386053,60395728,9676,"*",7.87717274967695,8.5133673362892,6.71156310622095,1.72035215585644,2.5852140007533e-26,6.24749278457044e-23,353.71,376.68,365.84,119.01,110.67,84.73
"10",76350490,76354399,3910,"*",7.14384024303728,7.83733581525659,5.75851369378815,1.92799303804535,1.22472410830672e-25,2.63084346509931e-22,271.09,208.45,206.57,48.95,59.73,53.73
"11",128496383,128505202,8820,"*",7.89108406821922,8.51404816878371,6.77067684081548,1.66346494053819,6.92789383628532e-25,1.33936971536904e-21,338.22,339.86,418.67,113.26,108.91,105.4
"5",72138938,72142482,3545,"*",7.18245138485733,7.87883557178877,5.7848572972233,1.97977134622375,3.28517256652481e-24,5.77384011169311e-21,240.11,205.05,260.98,35.51,72.02,57.86
"1",85444434,85452139,7706,"*",7.64299009093673,8.26137432890129,6.53781202959444,1.67432517349687,4.90592327411617e-24,7.90385122154066e-21,276.25,315.5,328.78,81.58,112.43,84.73
"11",35164695,35168804,4110,"*",6.73386291139458,7.44730182351041,5.26110147915941,2.03268975342931,5.58859311670484e-24,8.31109774809652e-21,162.65,183.52,177.4,27.83,38.65,48.57
"17",61442227,61449148,6922,"*",8.15383321326609,7.02634460596399,8.77890559265341,-1.61798937791905,7.53581585224746e-24,1.04064234193929e-20,98.11,137.64,155.33,441.5,421.6,454.65
"2",36452765,36461775,9011,"*",7.74894577381643,8.33967040468013,6.7315199991536,1.55407011084984,3.44301840359839e-23,4.36960678103487e-20,302.07,326.83,342.98,103.66,115.94,99.2
"1",118140056,118145256,5201,"*",7.02456235846482,7.67312667074083,5.81497600994848,1.76285500682712,3.61628865135043e-23,4.36960678103487e-20,198.8,198.25,215.25,54.71,61.48,52.7
"2",54553918,54557403,3486,"*",6.88758507885749,7.57400818357276,5.53176020538495,1.89580097447458,4.32900607925935e-23,4.74674342657003e-20,206.54,164.83,200.27,40.31,50.94,47.53
"3",181564319,181568739,4421,"*",6.38102082166314,7.18399477025196,4.41132069828063,2.42866387987449,4.41945800849638e-23,4.74674342657003e-20,191.05,112.72,132.46,19.2,28.11,16.53
"6",154601976,154607593,5618,"*",8.09805864669363,7.12487899255697,8.67396907545561,-1.484159685586,8.01846189748727e-23,8.15899599284849e-20,136.84,129.71,152.17,412.71,389.98,422.62
"11",35212662,35217676,5015,"*",6.93866727893839,7.60191385895177,5.67456241594884,1.79940128126913,2.01664464381782e-22,1.94938954494649e-19,175.56,188.05,219.19,52.79,45.67,54.76
"7",43645542,43654479,8938,"*",8.24139249885585,8.83551044093572,7.21357231951216,1.54570284073183,2.30943283370086e-22,2.12610785590184e-19,400.18,481.47,488.84,146.85,129.99,168.43
"9",21830448,21834041,3594,"*",6.40382553473973,7.15497694476491,4.74576302320226,2.13983455594043,2.52373199483857e-22,2.21778684800973e-19,147.16,123.48,156.9,29.75,22.84,27.9
"17",13539526,13545857,6332,"*",7.76108120125797,8.38329138817443,6.6431953383893,1.65820947507228,3.88621397156416e-22,3.26661629183695e-19,322.73,297.38,381.61,79.66,110.67,109.53
"8",139861880,139866951,5072,"*",7.94497768966988,6.8080309184787,8.57284512063221,-1.61680390822086,4.6694269202033e-22,3.71839860996686e-19,85.2,138.21,112.75,413.67,344.31,384.39
"10",62580806,62586321,5516,"*",7.32227421473423,7.95146317622453,6.18082741485228,1.66018860767532,4.80835696731866e-22,3.71839860996686e-19,265.93,214.11,262.55,73.9,75.54,68.2
"17",20186956,20192134,5179,"*",7.42393483168958,8.02874092721852,6.36271189316882,1.60488851125654,6.10361027461948e-22,4.53850374766225e-19,240.11,253.19,290.15,73.9,91.35,81.63
"11",970259,982051,11793,"*",8.92506572850064,7.5940226940354,9.60540739870026,-1.8318572070855,1.14826935365883e-21,8.22203385714304e-19,129.09,234.5,216.04,839.82,621.86,875.2
"17",72509980,72519778,9799,"*",8.32189019272466,8.90894196787034,7.3156041540696,1.51779056969588,1.22639293370325e-21,8.4678052097446e-19,415.67,497.33,529.05,172.76,138.78,166.36
"3",114496152,114500370,4219,"*",6.72870608996804,7.4099020791768,5.3942135655096,1.85778372613393,1.40101795117502e-21,9.33995863795406e-19,149.75,176.73,183.71,43.19,33.38,49.6
"8",128075568,128079665,4098,"*",7.33963952887698,7.94453041132393,6.27814749461407,1.60252533653968,1.86595989069044e-21,1.18438907542231e-18,229.78,239.6,269.65,67.19,86.08,79.56
"10",52451044,52455843,4800,"*",6.76678696591459,7.4403452822091,5.46277332659179,1.82571071869018,1.89913936471793e-21,1.18438907542231e-18,170.4,161.43,189.23,41.27,40.4,50.63
"15",59294077,59296753,2677,"*",6.79051340846543,7.44950469078742,5.54248013952328,1.77219260024127,4.24352930938985e-21,2.56375475432606e-18,167.82,188.62,167.94,47.03,42.16,50.63
"11",27907314,27917666,10353,"*",7.96825750245381,8.56096426391186,6.94477212871908,1.54887328883733,5.07440360910047e-21,2.9728316659012e-18,345.96,341.56,445.48,115.17,133.51,120.9
"11",86735479,86744310,8832,"*",8.07416737951425,8.64729948979783,7.10908738569955,1.46754820979439,6.98037392611682e-21,3.92702634032242e-18,428.58,357.98,416.3,126.69,151.07,136.4
"6",113119925,113124496,4572,"*",6.4886206198474,7.19909917529742,5.02925572242184,2.02682830561984,7.10939439876298e-21,3.92702634032242e-18,134.25,133.11,173.46,26.87,42.16,28.93
"3",189710679,189716156,5478,"*",7.22830194692726,7.82968984062585,6.17787300693724,1.5820813600776,9.1967264605851e-21,4.9388975739581e-18,209.13,226.57,246.79,66.23,75.54,75.43
"2",207255441,207259536,4096,"*",7.13861133168764,7.74517920842055,6.07178326859816,1.59426979844856,1.12176917955027e-20,5.86139555357983e-18,211.71,213.54,218.4,59.51,72.02,70.26
"6",53299739,53304131,4393,"*",7.55843055076951,8.13262371915664,6.59026444776778,1.48361726880231,1.16139752964968e-20,5.90876274755716e-18,255.6,288.31,298.03,91.18,96.62,101.26
"5",125408281,125414398,6118,"*",7.15452274249708,7.7830627049379,6.01528816020615,1.70850407247556,1.3495564509248e-20,6.68999355531517e-18,185.89,218.64,256.25,59.51,80.81,53.73
"1",12447274,12450567,3294,"*",6.66392548103379,7.37485167166047,5.20254461879391,1.98764095327697,1.84239433433012e-20,8.90475241640107e-18,196.22,131.41,170.31,26.87,47.43,36.17
"7",43691637,43695296,3660,"*",6.81275779214078,7.46429593438888,5.59233835178469,1.7417615924613,2.46624454995404e-20,1.16292453376248e-17,193.64,164.26,171.88,48.95,54.46,41.33
"9",116073151,116075848,2698,"*",6.85442883602961,7.49788224374177,5.66322134817616,1.74644636511362,4.1921499736636e-20,1.89805469559658e-17,185.89,175.03,181.34,37.43,65,49.6
"5",14189190,14191498,2309,"*",6.46454677195297,7.15704035510909,5.08344558404249,1.9334231046058,4.22160823000326e-20,1.89805469559658e-17,147.16,131.98,149.02,27.83,43.92,29.97
