"seqnames","start","end","width","strand","condition","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",121771501,121775619,4119,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",252156,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",122643755,122646081,2327,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",1124410,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",122722606,122726866,4261,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",1203261,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",122818152,122827354,9203,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",1298807,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",123979825,123980393,569,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",2460480,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",124781972,124784340,2369,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",3262627,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",125178864,125183125,4262,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",3659519,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",125178864,125183125,4262,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",3659519,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",125178864,125183125,4262,"*","YAF","Distal Intergenic",1,121519345,121568791,49447,1,"647121","ENST00000458200.2",3659519,"ENSG00000291141","EMBP1","embigin pseudogene 1"
"chr1",143200195,143203562,3368,"*","YAF","Distal Intergenic",1,143419625,143420207,583,2,"107985200","ENST00000622095.1",216645,"ENSG00000232527","LOC107985200","uncharacterized LOC107985200"
"chr1",143212848,143223010,10163,"*","YAF","Distal Intergenic",1,143419625,143420207,583,2,"107985200","ENST00000622095.1",197197,"ENSG00000232527","LOC107985200","uncharacterized LOC107985200"
"chr1",143230171,143233345,3175,"*","YAF","Distal Intergenic",1,143419625,143420207,583,2,"107985200","ENST00000622095.1",186862,"ENSG00000232527","LOC107985200","uncharacterized LOC107985200"
"chr1",143245429,143247467,2039,"*","YAF","Distal Intergenic",1,143419625,143420207,583,2,"107985200","ENST00000622095.1",172740,"ENSG00000232527","LOC107985200","uncharacterized LOC107985200"
"chr1",143249754,143256917,7164,"*","YAF","Distal Intergenic",1,143419625,143420207,583,2,"107985200","ENST00000622095.1",163290,"ENSG00000232527","LOC107985200","uncharacterized LOC107985200"
"chr1",143262076,143266926,4851,"*","YAF","Distal Intergenic",1,143419625,143420207,583,2,"107985200","ENST00000622095.1",153281,"ENSG00000232527","LOC107985200","uncharacterized LOC107985200"
"chr10",40545597,40546612,1016,"*","YAF","Distal Intergenic",2,42336101,42353011,16911,2,"441666","ENST00000423987.2",1806399,"ENSG00000291065","LOC441666","zinc finger protein 91 pseudogene"
"chr10",40593276,40596752,3477,"*","YAF","Distal Intergenic",2,42336101,42353011,16911,2,"441666","ENST00000423987.2",1756259,"ENSG00000291065","LOC441666","zinc finger protein 91 pseudogene"
"chr10",40980851,40981551,701,"*","YAF","Distal Intergenic",2,42336101,42353011,16911,2,"441666","ENST00000423987.2",1371460,"ENSG00000291065","LOC441666","zinc finger protein 91 pseudogene"
"chr10",41564546,41565067,522,"*","YAF","Distal Intergenic",2,42336101,42353011,16911,2,"441666","ENST00000423987.2",787944,"ENSG00000291065","LOC441666","zinc finger protein 91 pseudogene"
